Node 1 Name,Node 2 Name,Is Accessible
N77,N78,TRUE
N73,N78,TRUE
N74,N73,TRUE
N74,N75,TRUE
N76,N75,TRUE
N77,N80,TRUE
N79,N80,TRUE
N82,N79,TRUE
N82,N81,TRUE
N72,N83,TRUE
N78,N83,TRUE
N77,N84,TRUE
N76,N84,TRUE
N79,N85,TRUE
N86,N85,TRUE
N87,N86,TRUE
N75,N89,TRUE
N88,N89,TRUE
N87,N88,TRUE
N76,N90,TRUE
Admissions Office,N90,TRUE
N87,N90,TRUE
Chapel and Cultural Center,N91,TRUE
N92,N91,TRUE
N82,N94,TRUE
N93,N94,TRUE
N83,N94,TRUE
N96,N88,TRUE
N96,N97,TRUE
N95,N98,TRUE
N97,N98,TRUE
N99,N98,TRUE
N99,N101,TRUE
Cary Hall,N100,TRUE
Bray Hall,N100,TRUE
N101,N100,TRUE
N102,N98,TRUE
N96,N106,TRUE
N105,N106,TRUE
Barton Hall,N104,TRUE
N100,N104,TRUE
N105,N104,TRUE
N103,N104,TRUE
N102,N103,TRUE
N100,N107,TRUE
Hall Hall,N108,TRUE
N107,N108,TRUE
N107,Commons Dining Hall,TRUE
N100,N110,TRUE
N109,N110,TRUE
Crockett Hall,N109,TRUE
N95,N111,TRUE
N109,N111,TRUE
N107,N112,TRUE
N114,N113,FALSE
N112,N113,TRUE
N115,N113,TRUE
N108,N116,TRUE
N115,N116,TRUE
N108,N117,TRUE
N120,Nugent Hall,TRUE
Davison Hall,N119,TRUE
N122,N119,TRUE
N121,N119,TRUE
N120,N122,TRUE
N121,N120,TRUE
N119,N120,TRUE
N121,N122,TRUE
Sharp Hall,N121,TRUE
N122,Sharp Hall,TRUE
N119,N118,TRUE
N109,N123,TRUE
N118,N123,TRUE
N118,N117,TRUE
Nason Hall,N118,TRUE
Warren Hall,N117,TRUE
N89,N124,TRUE
N114,N124,TRUE
Quadrangle Complex,N125,TRUE
N74,N125,TRUE
N124,Rensselaer Union,TRUE
N75,Rensselaer Union,TRUE
N126,Rensselaer Union,TRUE
N126,N114,TRUE
Quadrangle Complex,N127,FALSE
N128,N127,TRUE
N129,N127,TRUE
N129,N130,FALSE
Russel Sage Dining Hall,N130,TRUE
N131,N132,TRUE
N131,N133,FALSE
N127,N133,TRUE
N130,Low Center for Industrial Innovation,TRUE
Darrin Communications Center,N134,TRUE
N130,N134,TRUE
N136,N135,TRUE
N136,N137,TRUE
N138,N137,TRUE
N140,N139,TRUE
